player,team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,PPG
Devin Harris,DAL,76,22.2,2.9,6.9,.418,1.2,3.5,.357,1.7,2.1,.815,1.1,1.9,0.2,1.6,1.8,3.1,1.0,8.8
Mason Plumlee,BRK,82,21.3,3.4,6.0,.573,0.0,0.0,.000,1.9,3.9,.495,1.3,2.5,2.1,4.1,6.2,0.9,0.8,8.7
Boris Diaw,SAS,81,24.5,3.6,7.8,.460,0.7,2.1,.320,0.9,1.1,.774,1.6,1.8,1.0,3.3,4.3,2.9,0.4,8.7
Chris Kaman,POR,74,18.9,3.8,7.4,.515,0.0,0.0,.000,1.0,1.4,.706,1.5,1.9,2.0,4.5,6.5,0.9,0.2,8.6
Tony Allen,MEM,63,26.2,3.6,7.2,.495,0.2,0.5,.345,1.3,2.0,.627,1.4,2.6,1.6,2.8,4.4,1.4,2.0,8.6
Tristan Thompson,CLE,82,26.8,3.3,6.0,.547,0.0,0.0,.000,1.9,3.0,.641,1.0,2.3,3.3,4.7,8.0,0.5,0.4,8.5
Rudy Gobert,UTA,82,26.3,3.1,5.2,.604,0.0,0.0,.000,2.1,3.3,.623,1.4,2.1,3.2,6.2,9.5,1.3,0.8,8.4
Derrick Williams,SAC,74,19.8,2.9,6.6,.447,0.7,2.1,.314,1.8,2.6,.684,0.8,0.9,0.6,2.2,2.7,0.7,0.5,8.3
Ed Davis,LAL,79,23.3,3.6,5.9,.601,0.0,0.0,.000,1.2,2.4,.487,0.7,2.6,2.9,4.7,7.6,1.2,0.6,8.3
Zaza Pachulia,MIL,73,23.7,3.3,7.2,.454,0.0,0.0,.000,1.7,2.2,.787,1.8,2.3,2.7,4.2,6.8,2.4,1.1,8.3
Henry Sims,PHI,73,19.2,3.3,6.9,.474,0.1,0.3,.182,1.5,1.9,.774,1.4,1.8,1.7,3.3,4.9,1.1,0.5,8.0
Patrick Patterson,TOR,81,26.6,3.0,6.6,.449,1.3,3.5,.371,0.8,1.0,.787,0.7,1.8,1.6,3.8,5.3,1.9,0.7,8.0
Jason Smith,NYK,82,21.8,3.1,7.2,.434,0.2,0.5,.357,1.5,1.9,.830,1.3,2.5,1.2,2.8,4.0,1.7,0.4,8.0
Iman Shumpert,CLE,62,24.9,3.1,7.6,.410,1.1,3.2,.342,0.7,1.0,.672,1.5,2.2,0.9,2.7,3.6,2.2,1.3,8.0
James Johnson,TOR,70,19.6,3.4,5.8,.589,0.2,0.7,.216,1.0,1.5,.657,1.1,2.2,0.9,2.8,3.7,1.4,0.8,7.9
Andre Iguodala,GSW,77,26.9,3.0,6.4,.466,1.0,2.8,.349,0.9,1.5,.596,1.1,1.3,0.6,2.8,3.3,3.0,1.2,7.8
Marcus Smart,BOS,67,27.0,2.6,7.1,.367,1.4,4.1,.335,1.2,1.9,.646,1.3,2.6,0.9,2.4,3.3,3.1,1.5,7.8
Mike Scott,ATL,68,16.5,3.0,6.7,.444,1.0,2.8,.344,0.9,1.1,.792,0.6,1.2,0.7,2.3,2.9,1.1,0.4,7.8
Jerryd Bayless,MIL,77,22.3,2.9,6.7,.426,0.5,1.6,.308,1.6,1.8,.883,1.7,2.1,0.3,2.5,2.7,3.0,0.8,7.8
Rasual Butler,WAS,75,20.1,2.9,6.9,.422,1.2,3.1,.387,0.7,0.9,.791,0.6,1.3,0.4,2.3,2.6,0.8,0.4,7.7
Steven Adams,OKC,70,25.3,3.1,5.7,.544,0.0,0.0,.000,1.5,2.9,.502,1.4,3.2,2.8,4.6,7.5,0.9,0.5,7.7
Jae Crowder,BOS,82,20.1,2.8,6.6,.420,0.7,2.5,.293,1.3,1.7,.773,0.6,1.7,0.9,2.7,3.6,1.1,0.9,7.7
Beno Udrih,MEM,79,18.9,3.1,6.4,.487,0.3,1.2,.268,1.1,1.3,.853,1.1,1.1,0.3,1.6,1.8,2.8,0.6,7.7
Norris Cole,NOP,75,24.4,3.1,7.4,.412,0.7,2.3,.312,0.8,1.1,.716,1.3,1.7,0.2,1.9,2.1,3.4,0.8,7.6
J.J. Hickson,DEN,73,19.3,3.0,6.3,.475,0.0,0.0,.000,1.6,2.8,.577,1.3,1.9,2.1,4.1,6.2,0.8,0.5,7.6
J.J. Barea,DAL,77,17.7,2.9,7.0,.420,0.7,2.2,.323,1.0,1.2,.809,0.9,1.4,0.3,1.4,1.7,3.4,0.4,7.5
Marvin Williams,CHA,78,26.1,2.7,6.3,.424,1.2,3.4,.358,0.8,1.1,.713,0.8,1.9,0.7,4.2,4.9,1.3,0.9,7.4
Alan Anderson,BRK,74,23.6,2.6,5.9,.443,1.0,2.8,.348,1.1,1.4,.812,0.8,2.0,0.4,2.3,2.8,1.1,0.8,7.4
Omer Asik,NOP,76,26.1,2.8,5.4,.517,0.0,0.0,.000,1.7,3.0,.582,1.2,1.9,3.2,6.6,9.8,0.9,0.4,7.3
Channing Frye,ORL,75,24.9,2.5,6.5,.392,1.8,4.6,.393,0.4,0.5,.886,1.0,2.5,0.4,3.5,3.9,1.3,0.6,7.3
Brandan Wright,PHX,75,19.3,3.1,4.8,.642,0.0,0.0,.000,1.0,1.5,.696,0.5,1.4,1.7,2.6,4.3,0.5,0.7,7.3
Joakim Noah,CHI,67,30.6,2.8,6.4,.445,0.0,0.0,.000,1.6,2.6,.603,1.8,3.0,3.3,6.4,9.6,4.7,0.7,7.2
Jared Dudley,MIL,72,23.8,2.8,5.9,.468,1.0,2.7,.385,0.7,0.9,.716,0.9,1.6,0.6,2.4,3.1,1.8,1.0,7.2
Carl Landry,SAC,70,17.0,2.7,5.3,.515,0.0,0.0,.000,1.8,2.1,.820,0.8,1.9,1.4,2.4,3.8,0.4,0.2,7.2
Trevor Booker,UTA,79,19.8,2.9,5.9,.487,0.4,1.1,.345,1.1,1.9,.581,1.1,1.8,1.8,3.3,5.0,1.1,0.5,7.2
Quincy Pondexter,NOP,75,23.9,2.5,6.0,.421,1.2,3.3,.373,0.9,1.3,.740,0.7,2.0,0.7,1.9,2.6,1.3,0.3,7.2
Leandro Barbosa,GSW,66,14.9,2.8,5.8,.474,0.7,1.7,.384,0.9,1.1,.784,0.7,1.3,0.3,1.0,1.4,1.5,0.6,7.1
Jason Terry,HOU,77,21.3,2.4,5.8,.422,1.6,4.2,.390,0.5,0.6,.812,1.0,1.5,0.2,1.4,1.6,1.9,0.9,7.0
